央视频(FY),#genre#
湖南卫视,http://jp.护法.cloudns.ch/ysp.php?id=31
江苏卫视,http://jp.护法.cloudns.ch/ysp.php?id=32
东方卫视,http://jp.护法.cloudns.ch/ysp.php?id=33
浙江卫视,http://jp.护法.cloudns.ch/ysp.php?id=34
湖北卫视,http://jp.护法.cloudns.ch/ysp.php?id=35
天津卫视,http://jp.护法.cloudns.ch/ysp.php?id=36
山东卫视,http://jp.护法.cloudns.ch/ysp.php?id=37
辽宁卫视,http://jp.护法.cloudns.ch/ysp.php?id=38
安徽卫视,http://jp.护法.cloudns.ch/ysp.php?id=39
黑龙江卫视,http://jp.护法.cloudns.ch/ysp.php?id=40
贵州卫视,http://jp.护法.cloudns.ch/ysp.php?id=41
东南卫视,http://jp.护法.cloudns.ch/ysp.php?id=42
重庆卫视,http://jp.护法.cloudns.ch/ysp.php?id=43
江西卫视,http://jp.护法.cloudns.ch/ysp.php?id=44
广东卫视,http://jp.护法.cloudns.ch/ysp.php?id=45
河北卫视,http://jp.护法.cloudns.ch/ysp.php?id=46
深圳卫视,http://jp.护法.cloudns.ch/ysp.php?id=47
吉林卫视,http://jp.护法.cloudns.ch/ysp.php?id=48
河南卫视,http://jp.护法.cloudns.ch/ysp.php?id=49
四川卫视,http://jp.护法.cloudns.ch/ysp.php?id=50
广西卫视,http://jp.护法.cloudns.ch/ysp.php?id=51
陕西卫视,http://jp.护法.cloudns.ch/ysp.php?id=52
山西卫视,http://jp.护法.cloudns.ch/ysp.php?id=53
内蒙古卫视,http://jp.护法.cloudns.ch/ysp.php?id=54
青海卫视,http://jp.护法.cloudns.ch/ysp.php?id=55
海南卫视,http://jp.护法.cloudns.ch/ysp.php?id=56
宁夏卫视,http://jp.护法.cloudns.ch/ysp.php?id=57
西藏卫视,http://jp.护法.cloudns.ch/ysp.php?id=58
新疆卫视,http://jp.护法.cloudns.ch/ysp.php?id=59
甘肃卫视,http://jp.护法.cloudns.ch/ysp.php?id=60
云南卫视,http://jp.护法.cloudns.ch/ysp.php?id=61
兵团卫视,http://jp.护法.cloudns.ch/ysp.php?id=62


咪咕(限）,#genre#
CCTV1综合,http://150.138.92.209:2026/migu1080.php?id=608807420
CCTV2财经,http://150.138.92.209:2026/migu1080.php?id=631780532
CCTV3综艺,http://150.138.92.209:2026/migu1080.php?id=624878271
CCTV4中文国际,http://150.138.92.209:2026/migu1080.php?id=631780421
CCTV5体育,http://150.138.92.209:2026/migu1080.php?id=641886683
CCTV5+体育赛事,http://150.138.92.209:2026/migu1080.php?id=641886773
CCTV6电影,http://150.138.92.209:2026/migu1080.php?id=624878396
CCTV7国防军事,http://150.138.92.209:2026/migu1080.php?id=673168121
CCTV8电视剧,http://150.138.92.209:2026/migu1080.php?id=624878356
CCTV9纪录,http://150.138.92.209:2026/migu1080.php?id=673168140
CCTV10科教,http://150.138.92.209:2026/migu1080.php?id=624878405
CCTV11戏曲,http://150.138.92.209:2026/migu1080.php?id=667987558
CCTV12社会与法,http://150.138.92.209:2026/migu1080.php?id=673168185
CCTV13新闻,http://150.138.92.209:2026/migu1080.php?id=608807423
CCTV14少儿,http://150.138.92.209:2026/migu1080.php?id=624878440
CCTV15音乐,http://150.138.92.209:2026/migu1080.php?id=673168223
CCTV17农业农村,http://150.138.92.209:2026/migu1080.php?id=673168256
CCTV4欧洲,http://150.138.92.209:2026/migu1080.php?id=608807419
CCTV4美洲,http://150.138.92.209:2026/migu1080.php?id=608807416
CGTN外语纪录,http://150.138.92.209:2026/migu1080.php?id=609006487
CGTN阿拉伯语,http://150.138.92.209:2026/migu1080.php?id=609154345
CGTN西班牙语,http://150.138.92.209:2026/migu1080.php?id=609006450
CGTN法语,http://150.138.92.209:2026/migu1080.php?id=609006476
CGTN俄语,http://150.138.92.209:2026/migu1080.php?id=609006446
老故事,http://150.138.92.209:2026/migu1080.php?id=884121956
发现之旅,http://150.138.92.209:2026/migu1080.php?id=624878970
中学生,http://150.138.92.209:2026/migu1080.php?id=708869532
CGTN,http://150.138.92.209:2026/migu1080.php?id=609017205
东方卫视,http://150.138.92.209:2026/migu1080.php?id=651632648
江苏卫视,http://150.138.92.209:2026/migu1080.php?id=623899368
广东卫视,http://150.138.92.209:2026/migu1080.php?id=608831231
江西卫视,http://150.138.92.209:2026/migu1080.php?id=783847495
河南卫视,http://150.138.92.209:2026/migu1080.php?id=790187291
陕西卫视,http://150.138.92.209:2026/migu1080.php?id=738910838
大湾区卫视,http://150.138.92.209:2026/migu1080.php?id=608917627
湖北卫视,http://150.138.92.209:2026/migu1080.php?id=947472496
吉林卫视,http://150.138.92.209:2026/migu1080.php?id=947472500
青海卫视,http://150.138.92.209:2026/migu1080.php?id=947472506
东南卫视,http://150.138.92.209:2026/migu1080.php?id=849116810
海南卫视,http://150.138.92.209:2026/migu1080.php?id=947472502
海峡卫视,http://150.138.92.209:2026/migu1080.php?id=849119120
中国农林卫视,http://150.138.92.209:2026/migu1080.php?id=956904896
兵团卫视,http://150.138.92.209:2026/migu1080.php?id=956923145
上海新闻综合,http://150.138.92.209:2026/migu1080.php?id=651632657
上视东方影视,http://150.138.92.209:2026/migu1080.php?id=617290047
上海第一财经,http://150.138.92.209:2026/migu1080.php?id=608780988
南京新闻综合频道,http://150.138.92.209:2026/migu1080.php?id=838109047
南京教科频道,http://150.138.92.209:2026/migu1080.php?id=838153729
南京十八频道,http://150.138.92.209:2026/migu1080.php?id=838151753
体育休闲频道,http://150.138.92.209:2026/migu1080.php?id=626064707
江苏城市频道,http://150.138.92.209:2026/migu1080.php?id=626064714
江苏国际,http://150.138.92.209:2026/migu1080.php?id=626064674
江苏教育,http://150.138.92.209:2026/migu1080.php?id=628008321
江苏影视频道,http://150.138.92.209:2026/migu1080.php?id=626064697
江苏综艺频道,http://150.138.92.209:2026/migu1080.php?id=626065193
公共新闻频道,http://150.138.92.209:2026/migu1080.php?id=626064693
盐城新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731825
淮安新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731826
泰州新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731818
连云港新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731715
宿迁新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731832
徐州新闻综合,http://150.138.92.209:2026/migu1080.php?id=639731747
优漫卡通频道,http://150.138.92.209:2026/migu1080.php?id=626064703
江阴新闻综合,http://150.138.92.209:2026/migu1080.php?id=955227979
南通新闻综合,http://150.138.92.209:2026/migu1080.php?id=955227985
宜兴新闻综合,http://150.138.92.209:2026/migu1080.php?id=955227996
溧水新闻综合,http://150.138.92.209:2026/migu1080.php?id=639737327
陕西银龄频道,http://150.138.92.209:2026/migu1080.php?id=956909362
陕西都市青春频道,http://150.138.92.209:2026/migu1080.php?id=956909358
陕西体育休闲频道,http://150.138.92.209:2026/migu1080.php?id=956909356
陕西秦腔频道,http://150.138.92.209:2026/migu1080.php?id=956909303
陕西新闻资讯频道,http://150.138.92.209:2026/migu1080.php?id=956909289
财富天下,http://150.138.92.209:2026/migu1080.php?id=956923159
经典香港电影,http://150.138.92.209:2026/migu1080.php?id=625703337
高能悬疑,http://150.138.92.209:2026/migu1080.php?id=625133682
抗战经典影片,http://150.138.92.209:2026/migu1080.php?id=617432318
新片放映厅,http://150.138.92.209:2026/migu1080.php?id=619495952
CHC影迷电影,http://150.138.92.209:2026/migu1080.php?id=952383261
CHC动作电影,http://150.138.92.209:2026/migu1080.php?id=644368714
CHC家庭影院,http://150.138.92.209:2026/migu1080.php?id=644368373
和美乡途轮播台,http://150.138.92.209:2026/migu1080.php?id=713591450
南方影视,http://150.138.92.209:2026/migu1080.php?id=614961829
血色山河·抗日战争影像志,http://150.138.92.209:2026/migu1080.php?id=713600957
CETV1,http://150.138.92.209:2026/migu1080.php?id=923287154
CETV2,http://150.138.92.209:2026/migu1080.php?id=923287211
CETV4,http://150.138.92.209:2026/migu1080.php?id=923287339
五环传奇,http://150.138.92.209:2026/migu1080.php?id=707671890
掼蛋精英赛,http://150.138.92.209:2026/migu1080.php?id=631354620
四海钓鱼,http://150.138.92.209:2026/migu1080.php?id=637444975
咪咕24小时体育台,http://150.138.92.209:2026/migu1080.php?id=654102378
熊猫频道01高清,http://150.138.92.209:2026/migu1080.php?id=609158151
熊猫频道1,http://150.138.92.209:2026/migu1080.php?id=608933610
熊猫频道2,http://150.138.92.209:2026/migu1080.php?id=608933640
熊猫频道3,http://150.138.92.209:2026/migu1080.php?id=608934619
熊猫频道4,http://150.138.92.209:2026/migu1080.php?id=608934721
熊猫频道5,http://150.138.92.209:2026/migu1080.php?id=608935104
熊猫频道6,http://150.138.92.209:2026/migu1080.php?id=608935797
熊猫频道7,http://150.138.92.209:2026/migu1080.php?id=609169286
熊猫频道8,http://150.138.92.209:2026/migu1080.php?id=609169287
熊猫频道9,http://150.138.92.209:2026/migu1080.php?id=609169226
熊猫频道10,http://150.138.92.209:2026/migu1080.php?id=609169285
嘉佳卡通,http://150.138.92.209:2026/migu1080.php?id=614952364
新动力量创一流,http://150.138.92.209:2026/migu1080.php?id=713589837
钱塘江,http://150.138.92.209:2026/migu1080.php?id=647370520
辽宁公共,http://150.138.92.209:2026/migu1080.php?id=962045223
辽宁生活,http://150.138.92.209:2026/migu1080.php?id=962045226
新动漫,http://150.138.92.209:2026/migu1080.php?id=961930269
湖南快乐垂钓,http://150.138.92.209:2026/migu1080.php?id=961930263
辽宁影视,http://150.138.92.209:2026/migu1080.php?id=962067517
辽宁体育,http://150.138.92.209:2026/migu1080.php?id=962067526
宁夏文旅,http://150.138.92.209:2026/migu1080.php?id=962067523
宁夏经济,http://150.138.92.209:2026/migu1080.php?id=962067520


Juli,#genre#
翡翠台4K+HDR,http://dbmhufa.zabc.net:2095/live/fct4k/stream.m3u8
凤凰中文,http://dbmhufa.zabc.net:2095/live/fhzw/stream.m3u8
CCTV1港澳版,http://dbmhufa.zabc.net:2095/live/cctv1/stream.m3u8
TVB PLUS,http://dbmhufa.zabc.net:2095/live/tvbp/stream.m3u8
HOY TV,http://dbmhufa.zabc.net:2095/live/hoy/stream.m3u8
澳视澳门,http://dbmhufa.zabc.net:2095/live/asam/stream.m3u8
澳视卫星,http://dbmhufa.zabc.net:2095/live/as/stream.m3u8
澳门体育,http://dbmhufa.zabc.net:2095/live/amty/stream.m3u8
澳门综艺,http://dbmhufa.zabc.net:2095/live/amzy/stream.m3u8
澳门莲花,http://dbmhufa.zabc.net:2095/live/amlh/stream.m3u8
重温经典,http://dbmhufa.zabc.net:2095/live/cwjd/stream.m3u8
凤凰资讯,http://dbmhufa.zabc.net:2095/live/fhzx/stream.m3u8
凤凰香港,http://dbmhufa.zabc.net:2095/live/fhhk/stream.m3u8
TVB1,http://dbmhufa.zabc.net:2095/live/tvb1/stream.m3u8
TVBJ1,http://dbmhufa.zabc.net:2095/live/j1/stream.m3u8
翡翠剧集台,http://dbmhufa.zabc.net:2095/live/tvbd/stream.m3u8
翡翠台,http://dbmhufa.zabc.net:2095/live/fct/stream.m3u8
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,http://dbmhufa.zabc.net:2095/live/mzt/stream.m3u8
无线新闻台,http://dbmhufa.zabc.net:2095/live/wxxw/stream.m3u8
八度空间,http://dbmhufa.zabc.net:2095/live/8tv/stream.m3u8
CH5,http://dbmhufa.zabc.net:2095/live/ch5/stream.m3u8
CH8,http://dbmhufa.zabc.net:2095/live/ch8/stream.m3u8
CHU,http://dbmhufa.zabc.net:2095/live/chu/stream.m3u8
华丽翡翠台,http://dbmhufa.zabc.net:2052/live/hlfct/stream.m3u8
TVB亚洲武侠,http://dbmhufa.zabc.net:2052/live/yzwx/stream.m3u8
TVB娱乐新闻台,http://dbmhufa.zabc.net:2052/live/ylxw/stream.m3u8
无线新闻台,http://dbmhufa.zabc.net:2052/live/wxxw/stream.m3u8
TVB星河,http://dbmhufa.zabc.net:2052/live/tvbxh/stream.m3u8
龙华电影,http://dbmhufa.zabc.net:2082/163189/lhdy?163189
龙华经典,http://dbmhufa.zabc.net:2082/163189/lhjd?163189
龙华卡通,http://dbmhufa.zabc.net:2082/163189/lhkt?163189
龙华偶像,http://dbmhufa.zabc.net:2082/163189/lhox?163189
龙华日韩,http://dbmhufa.zabc.net:2082/163189/lhrh?163189
龙华戏剧,http://dbmhufa.zabc.net:2082/163189/lhxj?163189
龙华洋片,http://dbmhufa.zabc.net:2082/163189/lhyp?163189

Mytvsuper,#genre#
PopC,http://mytvsuper.webn.cc:2052/stream/mytv/popc/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
黄金华剧台,http://mytvsuper.webn.cc:2052/stream/mytv/null/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
爱自然,http://mytvsuper.webn.cc:2052/stream/mytv/null-3/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326
Animax,http://mytvsuper.webn.cc:2052/stream/mytv/animax/master.m3u8?u=yhy&p=447c04d6fbd1b6db532939627946d3ee4532fbe69a842ccfe439df51e0fff326

油管新闻,#genre#
台視新聞 TTV NEWS,http://dbmhufa.zabc.net:2086/tsfile/live/1001_1.m3u8?key=h6i98xc5
中視新聞 HD直播頻道｜Taiwan CTV news HD Live,http://dbmhufa.zabc.net:2086/tsfile/live/1002_1.m3u8?key=wy97fw1a
華視新聞 CH52,http://dbmhufa.zabc.net:2086/tsfile/live/1003_1.m3u8?key=dxgqct1z
大愛電視 Tzu Chi DaAiVideo,http://dbmhufa.zabc.net:2086/tsfile/live/1004_1.m3u8?key=f6y6ugfz
鏡新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1005_1.m3u8?key=45g0wek1
民視新聞網 Formosa TV News network,http://dbmhufa.zabc.net:2086/tsfile/live/1006_1.m3u8?key=yr7h5yy1
國會頻道,http://dbmhufa.zabc.net:2086/tsfile/live/1007_1.m3u8?key=c5n57zuz
TVBS NEWS,http://dbmhufa.zabc.net:2086/tsfile/live/1008_1.m3u8?key=oz2x7d3t
公視新聞網,http://dbmhufa.zabc.net:2086/tsfile/live/1009_1.m3u8?key=qcuacsb2
寰宇新聞 頻道,http://dbmhufa.zabc.net:2086/tsfile/live/1010_1.m3u8?key=rdk1b2zx
寰宇新聞 頻道,http://dbmhufa.zabc.net:2086/tsfile/live/1017_1.m3u8?key=0hbl829e
東森新聞 CH51,http://dbmhufa.zabc.net:2086/tsfile/live/1018_1.m3u8?key=yvytetaq
三立iNEWS,http://dbmhufa.zabc.net:2086/tsfile/live/1019_1.m3u8?key=xn9k8tk2
中天電視,http://dbmhufa.zabc.net:2086/tsfile/live/1020_1.m3u8?key=ft8tnh4m
57東森財經新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1021_1.m3u8?key=rarh769v
57東森財經新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1022_1.m3u8?key=88h5kcsy
三立LIVE新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1023_1.m3u8?key=ut4w52h0
寰宇新聞 頻道,http://dbmhufa.zabc.net:2086/tsfile/live/1024_1.m3u8?key=xlj4ywh7
TVBS選新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1025_1.m3u8?key=l0dkpynl
東森新聞 CH51,http://dbmhufa.zabc.net:2086/tsfile/live/1026_1.m3u8?key=6adxetpj
今日新聞主播 Niki 倪珍,http://dbmhufa.zabc.net:2086/tsfile/live/1027_1.m3u8?key=xq9pqcsw
投資看非凡,http://dbmhufa.zabc.net:2086/tsfile/live/1028_1.m3u8?key=4hzcxhx4
LIVE NOW,http://dbmhufa.zabc.net:2086/tsfile/live/1029_1.m3u8?key=dk7rzhb2
鳳凰衛視PhoenixTV Official,http://dbmhufa.zabc.net:2086/tsfile/live/1030_1.m3u8?key=1rd4kubd
寰宇全視界,http://dbmhufa.zabc.net:2086/tsfile/live/1031_1.m3u8?key=l1c85v4n
LIVE NOW,http://dbmhufa.zabc.net:2086/tsfile/live/1032_1.m3u8?key=rsaj0hp9
寰宇財經新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1033_1.m3u8?key=c2bnw00p
USTV 非凡電視,http://dbmhufa.zabc.net:2086/tsfile/live/1034_1.m3u8?key=xbqr1yjx
非凡商業台,http://dbmhufa.zabc.net:2086/tsfile/live/1035_1.m3u8?key=iqe8k8av
三立LIVE新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1036_1.m3u8?key=8a0cw7w5
三立LIVE新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1037_1.m3u8?key=rwq1dkxu
TVBS NEWS,http://dbmhufa.zabc.net:2086/tsfile/live/1038_1.m3u8?key=egbptlgv
TVBS選新聞,http://dbmhufa.zabc.net:2086/tsfile/live/1039_1.m3u8?key=xhy0p8j1

轮播频道,#genre#
红楼梦,https://live.ottiptv.cc/huya/30080221
新三国,https://live.ottiptv.cc/huya/11352944
老三国,https://live.ottiptv.cc/huya/11602081
斯诺克主台,https://live.ottiptv.cc/huya/880214
斯诺克副台,https://live.ottiptv.cc/huya/880625
JJ斗地主,https://live.ottiptv.cc/huya/152698
云顶之弈,https://live.ottiptv.cc/huya/660133
金铲铲,https://live.ottiptv.cc/huya/660579
王者荣耀,https://live.ottiptv.cc/huya/660002
B站热门赛事,http://live.iill.top/bilibili/10
Dota2,http://live.ottiptv.cc/huya/660118
英雄联盟,http://live.ottiptv.cc/huya/660000
王者荣耀,http://live.ottiptv.cc/huya/660002
跑跑卡丁车手游,https://live.iill.top/douyu/6672862
跑跑卡丁车,https://live.iill.top/douyu/7722576
神探狄仁杰,https://live.iill.top/douyu/6027991
港片林正英经典,https://yylunbo.ottiptv.cc/yy/1351505899
83射雕英雄传,https://yylunbo.ottiptv.cc/yy/1354210357
港片古惑仔,https://yylunbo.ottiptv.cc/yy/1458015189
港片轮播,https://yylunbo.ottiptv.cc/yy/1382736910
港片鬼片,https://yylunbo.ottiptv.cc/yy/1354209316
港片经典电影重温,https://yylunbo.ottiptv.cc/yy/1382793140
国产电视剧情满四合院,https://yylunbo.ottiptv.cc/yy/1382851601
经典港片电影,https://yylunbo.ottiptv.cc/yy/1459801818
港片华子系列,https://yylunbo.ottiptv.cc/yy/1354888726
港片成龙系列,https://yylunbo.ottiptv.cc/yy/1354888751
tvb刑事侦缉档案I,https://yylunbo.ottiptv.cc/yy/1382851585
精武英雄-李连杰,https://yylunbo.ottiptv.cc/yy/1382736873
宋小宝小品,https://yylunbo.ottiptv.cc/yy/1354936198
tvb读心神探,https://yylunbo.ottiptv.cc/yy/1382736875
憨豆先生-经典喜剧,https://yylunbo.ottiptv.cc/yy/1354936239
国产电视剧二炮手,https://yylunbo.ottiptv.cc/yy/1354930964
24h港片轮播,https://yylunbo.ottiptv.cc/yy/1354889234
英雄本色,https://yylunbo.ottiptv.cc/yy/1354888733
绝版僵尸鬼片,https://yylunbo.ottiptv.cc/yy/1460889796
观澜高手,https://yylunbo.ottiptv.cc/yy/1356243352
经典鬼片1,https://yylunbo.ottiptv.cc/yy/1463783198
鹿鼎记-高清全集,https://yylunbo.ottiptv.cc/yy/1382704650
经典鬼片2,https://yylunbo.ottiptv.cc/yy/1354952229
成龙历险记,https://live.ottiptv.cc/huya/11352946
樱桃小丸子,https://live.ottiptv.cc/huya/11342394
头文字D,https://live.ottiptv.cc/huya/11352889
龙珠,https://live.ottiptv.cc/huya/11601966
龙珠z,https://live.ottiptv.cc/huya/11352922
哆啦A梦,https://live.ottiptv.cc/huya/11601963
中华小当家,https://live.ottiptv.cc/huya/11342413
中华小当家剧场版,https://live.ottiptv.cc/huya/24257300
蜡笔小新,https://live.ottiptv.cc/huya/11352970
名侦探柯南,https://live.ottiptv.cc/huya/30080148
名侦探柯南剧场版,https://live.ottiptv.cc/huya/30080236
灌篮高手,https://yylunbo.ottiptv.cc/yy/1382735626
灌篮高手2,https://yylunbo.ottiptv.cc/yy/1356243352
熊出没,https://yylunbo.ottiptv.cc/yy/1352866135
海绵宝宝,https://live.ottiptv.cc/huya/11352919
茶啊二中,https://live.ottiptv.cc/huya/11213191
超能陆战队,https://live.ottiptv.cc/huya/11601958
物语,https://live.ottiptv.cc/huya/20985847
一人之下,https://live.ottiptv.cc/huya/11352869
不良人,https://live.ottiptv.cc/huya/30080218
我是怪兽大主宰,https://live.ottiptv.cc/huya/20969126
全职高手,https://live.ottiptv.cc/huya/21059628
神偷奶爸,https://live.ottiptv.cc/huya/11342428
尸兄,https://live.ottiptv.cc/huya/26355846
无畏契约,https://live.ottiptv.cc/huya/29465847
摩卡少女樱,https://live.ottiptv.cc/huya/21059587
吞噬星空,https://live.ottiptv.cc/huya/20969123
黑子的篮球,https://live.ottiptv.cc/huya/30080253
火影忍者,https://live.ottiptv.cc/huya/17269326
游戏王,https://live.ottiptv.cc/huya/20985856
全职猎人,https://live.ottiptv.cc/huya/30080254
新世纪福音战士,https://live.ottiptv.cc/huya/20985862
神龙斗士,https://live.ottiptv.cc/huya/21241839
足球小将,https://live.ottiptv.cc/huya/29982686
剑勇传说,https://live.ottiptv.cc/huya/24879375
摩登原始人,https://live.ottiptv.cc/huya/20985773


元宝TV,#genre#
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/bqkj.m3u8?auth=testpub
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
湖南卫视,http://38.75.136.137:98/gslb/dsdqpub/hnwshd.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
